item_id,Entity_id,event_timestamp,device_type_t,visitor_session_c,visitor_id,redirection_source_t,item_unit_price_a,product_type_c,department_n
B0019,29452,2020-03-15T15:02:00.000+05:30,android,J39625,E9162,youtube,704.0,D676,computers & accessories
B0019,3289,2020-04-15T00:57:00.000+05:30,android,J768,C4864,google,704.0,D676,computers & accessories
B01763,7153,2020-02-15T04:46:00.000+05:30,android,J21451,E7901,google,844.5,F801,books
B1562,22316,2020-09-15T09:56:00.000+05:30,android,J54305,D9652,google,1248.0,C09,baby
B1562,15770,2020-10-15T09:43:00.000+05:30,web,I7816,G0045,facebook,1248.0,C09,baby
B1562,22431,2020-09-15T09:58:00.000+05:30,android,J54305,D9652,linkedin,1248.0,C09,baby
B1562,22120,2020-09-15T09:51:00.000+05:30,android,J54305,D9652,youtube,1248.0,C09,baby
B16503,15484,2020-01-15T09:38:00.000+05:30,web,J03616,E8925,google,2851.0,B704,baby
B17613,34935,2020-12-15T17:06:00.000+05:30,web,I27162,F0366,google,1088.0,B0414,baby
B17613,34578,2020-12-15T16:57:00.000+05:30,web,I27162,F0366,google,1088.0,B0414,baby
B24411,30197,2020-12-15T15:19:00.000+05:30,web,I35994,H489,google,800.5,F420,furniture
B2606,134,2020-02-15T00:01:00.000+05:30,android,J13497,H8181,youtube,8160.0,E925,garden & outdoors
B27144,5636,2020-02-15T02:22:00.000+05:30,web,J10338,H8110,youtube,57.5,C550,baby
B403,483,2020-11-15T00:07:00.000+05:30,web,I05875,E8834,youtube,220.5,H34,beauty
C9587,36089,2020-01-15T17:32:00.000+05:30,web,J05801,D7018,google,316.5,D126,furniture
C9587,4439,2020-12-15T01:28:00.000+05:30,web,I59545,F2553,google,316.5,D126,furniture
C9587,4158,2020-12-15T01:19:00.000+05:30,web,I59545,F2553,facebook,316.5,D126,furniture
E1184,15226,2020-11-15T09:32:00.000+05:30,web,I04657,F2802,google,683.5,G318,baby
E1184,3185,2020-05-15T00:54:00.000+05:30,android,J94271,E326,pinterest,683.5,G318,baby
E1184,27845,2020-11-15T14:23:00.000+05:30,web,I13415,G893,youtube,683.5,G318,baby
E1184,15338,2020-11-15T09:35:00.000+05:30,web,H99287,G1768,linkedin,683.5,G318,baby
E1184,27736,2020-11-15T14:20:00.000+05:30,web,I13415,G893,youtube,683.5,G318,baby
E1184,26198,2020-02-15T13:41:00.000+05:30,android,J25569,F0066,google,683.5,G318,baby
E1184,7733,2020-11-15T05:43:00.000+05:30,web,I16070,I4649,linkedin,683.5,G318,baby
E1184,15304,2020-11-15T09:34:00.000+05:30,web,I04657,F2802,google,683.5,G318,baby
E1184,27820,2020-11-15T14:22:00.000+05:30,web,I13415,G893,facebook,683.5,G318,baby
E1184,30779,2020-01-15T15:32:00.000+05:30,web,I94994,C5496,facebook,683.5,G318,baby
E684,42748,2020-04-15T19:42:00.000+05:30,android,J7655,G8736,facebook,443.5,G648,baby
F826,7063,2020-10-15T04:38:00.000+05:30,web,I86850,G5840,linkedin,7344.0,F036,apps & games
G3855,39361,2020-04-15T18:41:00.000+05:30,android,J81845,H5557,facebook,2688.0,F267,apps & games
G4973,49084,2020-03-15T21:24:00.000+05:30,android,J44288,I5067,youtube,17728.0,H08,garden & outdoors
H1838,30061,2020-02-15T15:16:00.000+05:30,android,J22269,B9779,google,188.5,D327,computers & accessories
H2747,33615,2020-09-15T16:34:00.000+05:30,android,J63573,C0488,google,69984.0,E052,furniture
I3351,26655,2020-10-15T13:52:00.000+05:30,web,I81806,D3253,youtube,739.5,F622,baby
I4078,23870,2020-01-15T12:35:00.000+05:30,web,I87523,D0003,google,1228.5,F276,furniture
I4078,29156,2020-01-15T14:55:00.000+05:30,web,I87571,D4776,linkedin,1228.5,F276,furniture
I4078,37856,2020-09-15T18:10:00.000+05:30,android,J54336,D7157,facebook,1228.5,F276,furniture
I4078,13636,2020-09-15T09:02:00.000+05:30,android,J57172,B0282,youtube,1228.5,F276,furniture
I4078,13793,2020-09-15T09:05:00.000+05:30,android,J57172,B0282,google,1228.5,F276,furniture
I4078,2081,2020-12-15T00:31:00.000+05:30,web,I4737,C0874,google,1228.5,F276,furniture
I4078,350,2020-11-15T00:04:00.000+05:30,web,H93905,H3423,linkedin,1228.5,F276,furniture
I4078,35041,2020-11-15T17:08:00.000+05:30,web,I02179,B3311,linkedin,1228.5,F276,furniture
I4095,39585,2020-04-15T18:45:00.000+05:30,android,J81845,H5557,google,64.0,H312,apps & games
B10004,10307,2020-09-15T07:36:00.000+05:30,android,J63034,H4395,google,2851.0,D104,baby
B19477,1249,2020-01-15T00:19:00.000+05:30,web,J04183,I2766,google,8976.0,D278,computers & accessories
C4632,38199,2020-03-15T18:16:00.000+05:30,android,J41704,I3837,facebook,8241.5,B405,beauty
C677,23137,2020-01-15T12:15:00.000+05:30,web,J04045,J0146,google,14656.0,C417,books
D0576,6297,2020-09-15T03:13:00.000+05:30,android,J62280,F1796,google,2400.0,H312,beauty
D2970,47514,2020-11-15T21:02:00.000+05:30,web,I12250,G4289,youtube,27342.5,D184,computers & accessories
D2970,15761,2020-03-15T09:43:00.000+05:30,android,J28071,I5366,google,27342.5,D184,computers & accessories
E2474,47510,2020-12-15T21:02:00.000+05:30,web,I55557,J28,youtube,38.0,B0206,furniture
E3255,10451,2020-05-15T07:41:00.000+05:30,android,J912,H0670,google,2528.0,I606,apps & games
