item_id,Entity_id,event_timestamp,device_type_t,visitor_session_c,visitor_id,redirection_source_t,item_unit_price_a,product_type_c,department_n
B07414,23656,2021-06-15T07:51:00.000+05:30,iphone,B082456,D079,facebook,24032.0,B617,beauty
B08145,45064,2023-03-15T20:25:00.000+05:30,android,H00365,G0613,linkedin,18880.0,J259,electronics
B08145,17816,2022-01-15T10:19:00.000+05:30,iphone,D45602,I0499,facebook,18880.0,J259,electronics
B08145,45008,2023-03-15T20:24:00.000+05:30,android,H00365,G0613,google,18880.0,J259,electronics
B30438,11803,2023-09-15T08:18:00.000+05:30,android,H38238,B3505,youtube,20736.0,E521,computers & accessories
B30438,45407,2022-04-15T20:31:00.000+05:30,iphone,E78734,I3220,youtube,20736.0,E521,computers & accessories
B30438,4030,2021-03-15T09:56:00.000+05:30,iphone,B88876,G2266,youtube,20736.0,E521,computers & accessories
C2843,1705,2023-11-15T00:25:00.000+05:30,iphone,F26763,C6351,linkedin,22080.0,D184,furniture
G4973,49084,2020-03-15T21:24:00.000+05:30,android,J44288,I5067,youtube,17728.0,H08,garden & outdoors
H2747,33615,2020-09-15T16:34:00.000+05:30,android,J63573,C0488,google,69984.0,E052,furniture
B04413,16320,2022-04-15T09:53:00.000+05:30,iphone,E77162,D73,youtube,34899.0,F419,collectibles
B04413,33620,2021-11-15T12:14:00.000+05:30,iphone,C58441,G9950,facebook,34899.0,F419,collectibles
B04413,33408,2021-11-15T12:14:00.000+05:30,iphone,C58441,G9950,youtube,34899.0,F419,collectibles
B04413,33515,2021-11-15T12:16:00.000+05:30,iphone,C58441,G9950,linkedin,34899.0,F419,collectibles
B22685,4851,2023-12-15T01:43:00.000+05:30,iphone,G00400,B1664,youtube,14176.0,E872,electronics
C677,15281,2021-03-15T13:41:00.000+05:30,iphone,C02272,D4583,linkedin,14656.0,C417,books
C677,28660,2022-10-15T14:44:00.000+05:30,iphone,D15917,I3757,youtube,14656.0,C417,books
C677,15552,"",iphone,C02272,D4583,youtube,14656.0,C417,books
C677,45052,2021-10-15T14:49:00.000+05:30,iphone,C10360,D5476,twitter,14656.0,C417,books
C677,8094,2021-12-15T20:00:00.000+05:30,iphone,B67056,J134,google,14656.0,C417,books
C677,8091,2021-12-15T04:55:00.000+05:30,iphone,B67056,J134,linkedin,14656.0,C417,books
C677,17285,2022-04-15T10:10:00.000+05:30,iphone,E96920,E2568,linkedin,14656.0,C417,books
C677,23137,2020-01-15T12:15:00.000+05:30,web,J04045,J0146,google,14656.0,C417,books
C677,18296,2022-04-15T10:28:00.000+05:30,iphone,E96920,E2568,linkedin,14656.0,C417,books
D2970,47514,2020-11-15T21:02:00.000+05:30,web,I12250,G4289,youtube,27342.5,D184,computers & accessories
D2970,42902,2023-03-15T19:44:00.000+05:30,android,H04205,D9038,linkedin,27342.5,D184,computers & accessories
D2970,42989,2023-03-15T19:46:00.000+05:30,android,H04205,D9038,youtube,27342.5,D184,computers & accessories
D2970,47635,2021-11-15T07:20:00.000+05:30,android,B012574,H2626,linkedin,27342.5,D184,computers & accessories
D2970,15761,2020-03-15T09:43:00.000+05:30,android,J28071,I5366,google,27342.5,D184,computers & accessories
D2970,33300,2022-02-15T16:26:00.000+05:30,iphone,E27309,D1994,linkedin,27342.5,D184,computers & accessories
D2970,13752,2021-02-15T15:29:00.000+05:30,iphone,B47833,B3577,facebook,27342.5,D184,computers & accessories
D2970,11282,2023-02-15T08:04:00.000+05:30,android,G63113,E6990,google,27342.5,D184,computers & accessories
D2970,26589,2021-11-15T07:07:00.000+05:30,iphone,C58363,H2693,youtube,27342.5,D184,computers & accessories
D2970,47084,2021-05-15T18:47:00.000+05:30,iphone,C64651,F0610,linkedin,27342.5,D184,computers & accessories
G1565,43761,2020-12-15T19:59:00.000+05:30,web,I58490,E5218,youtube,41563.5,F403,furniture
G8276,11489,2021-07-15T20:14:00.000+05:30,iphone,B059947,F6518,facebook,18157.0,D432,computers & accessories
G8276,11892,2021-07-15T20:16:00.000+05:30,iphone,B059947,F6518,youtube,18157.0,D432,computers & accessories
G8276,44846,2021-10-15T03:58:00.000+05:30,iphone,C10360,D5476,pinterest,18157.0,D432,computers & accessories
H1238,40160,2020-12-15T18:58:00.000+05:30,web,I61781,F5785,google,46400.0,H92,collectibles
H1238,1013,2021-02-15T19:28:00.000+05:30,iphone,B41132,B6010,google,46400.0,H92,collectibles
H1238,34701,2023-12-15T16:59:00.000+05:30,iphone,G04670,F1268,youtube,46400.0,H92,collectibles
J1428,9952,2021-02-15T15:02:00.000+05:30,iphone,B50260,D7910,google,11200.0,I817,electronics
J1428,27954,2020-12-15T14:25:00.000+05:30,web,I52811,I4129,google,11200.0,I817,electronics
J1428,1808,2021-12-15T13:18:00.000+05:30,iphone,B75097,H282,linkedin,11200.0,I817,electronics
B22943,3112,"",iphone,B88876,G2266,youtube,21404.5,G239,garden & outdoors
B8441,6033,2023-10-15T02:48:00.000+05:30,iphone,G38516,H0567,google,14023.5,G161,computers & accessories
B8441,36913,2022-02-15T17:53:00.000+05:30,iphone,E11971,B9494,facebook,14023.5,G161,computers & accessories
B8441,36860,2022-02-15T17:52:00.000+05:30,iphone,E11971,B9494,facebook,14023.5,G161,computers & accessories
B06353,49518,2023-09-15T21:31:00.000+05:30,android,H34956,B8140,google,11552.0,B617,garden & outdoors
B19290,35167,2023-11-15T17:12:00.000+05:30,web,H87680,D1767,linkedin,14394.0,C844,electronics
B19290,2643,2023-03-15T00:41:00.000+05:30,android,H13453,J0128,google,14394.0,C844,electronics
B19290,4019,2023-03-15T01:15:00.000+05:30,android,H13453,J0128,google,14394.0,C844,electronics
B19290,35152,2023-11-15T17:11:00.000+05:30,web,H87680,D1767,linkedin,14394.0,C844,electronics
